district,Greek Orthodox,Greek Catholic,Maronite,Armenian Orthodox,Armenian Catholic,Christian.total,Alawaite,Shia,Shia.Alawi.total,Sunni,Druze
Akkar,15.82,0.00,12.09,0.00,0.00,27.91,4.45,0.00,4.45,65.49,0.00
Aley,13.09,0.00,24.31,0.00,0.00,37.40,0.00,3.01,3.01,0.00,53.47
Baabda,7.77,4.78,37.61,0.00,0.00,50.16,0.00,23.65,23.65,5.82,17.24
Baalbek,0.00,5.71,7.70,0.00,0.00,13.41,0.00,72.20,72.20,12.92,0.00
Batroun,15.86,2.10,73.82,0.00,0.00,91.78,0.00,0.00,0.00,5.70,0.00
Bcharré,0.00,0.00,99.30,0.00,0.00,99.30,0.00,0.00,0.00,0.00,0.00
Beirut,8.73,6.40,6.72,13.82,2.85,38.52,0.00,13.53,13.53,34.49,0.00
Bekaa-West,7.73,7.89,7.56,0.00,0.00,23.18,0.00,13.94,13.94,47.59,14.74
Bent Jbayl,0.00,2.41,9.31,0.00,0.00,11.72,0.00,88.11,88.11,0.00,0.00
Chouf,0.00,6.84,29.69,0.00,0.00,36.53,0.00,0.00,0.00,28.60,31.82
Hasbaya,7.59,2.50,4.49,0.00,0.00,14.58,0.00,56.69,56.69,17.05,10.47
Hermel,0.00,5.71,7.70,0.00,0.00,13.41,0.00,72.20,72.20,12.92,0.00
Jbayl,3.22,0.00,72.32,0.00,0.00,75.54,0.00,19.79,19.79,2.50,0.00
Jezzine,0.00,15.03,61.75,0.00,0.00,76.78,0.00,20.23,20.23,0.00,0.00
Kesrouan,0.00,0.00,91.38,0.00,0.00,91.38,0.00,0.00,0.00,0.00,0.00
Koura,64.53,0.00,19.07,0.00,0.00,83.60,0.00,1.88,1.88,13.22,0.00
Marjayoun,7.59,2.50,4.49,0.00,0.00,14.58,0.00,56.69,56.69,17.05,10.47
Matn,14.42,9.66,44.78,14.95,3.46,87.27,0.00,2.62,2.62,0.00,0.00
Minie-Danniyeh,7.93,0.00,6.41,0.00,0.00,14.34,0.00,0.00,0.00,85.60,0.00
Nabatiyeh,0.00,0.00,3.01,0.00,0.00,3.01,0.00,95.37,95.37,0.00,0.00
Rachaya,7.73,7.89,7.56,0.00,0.00,23.18,0.00,13.94,13.94,47.59,14.74
Saida,0.00,9.48,7.72,0.00,0.00,17.20,0.00,50.11,50.11,32.69,0.00
Sour,0.00,4.08,0.00,0.00,0.00,4.08,0.00,85.10,85.10,7.96,0.00
Tripoli,6.15,0.00,2.16,0.00,0.00,8.31,8.82,0.00,8.82,80.01,0.00
Zahlé,9.92,19.43,16.03,5.42,0.00,50.80,0.00,15.13,15.13,26.98,0.00
Zgharta,3.58,0.00,83.59,0.00,0.00,87.17,0.00,0.00,0.00,12.00,0.00
