objectID*,cazaID,Caza_Name,YearMonthDay,Syrian_Ref,Population,Ethnicity,Shape_Length,Shape_Area,Sunni,Shia_Nexus,Christian,FracIndx,Majority_Group,Pal_Ref_Syr,Pal_Ref,Inc_Index,Dist_Bord_km,Dist_Cap_km,Syr_Cross,Rainfall_mm,Water_Incdex,Illiteracy
1,1,Akkar,20130328,41919,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,1427,5857,62.1,9.793291,96.452576,3,91.4,31.9,30
16,16,Aley,20130328,3262,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,282,0,35.4,34.244362,16.39286,0,61.4,23.5,8
15,15,Baabda,20130328,6146,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,2051,17945,41,32.209187,16.310365,0,61.4,33.7,11
6,6,Baalbek,20130328,2993,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,202,8806,57.7,14.839836,74.0737,1,76.8,28.1,18
9,9,Bcharre,20130328,394,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,91.4,17,20
14,14,Beirut,20130328,7389,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,907,10504,35.2,48.947627,0,0,61.4,2.6,9
26,26,Bent Jbeil,20130328,968,821,0,1.098496896,0.026099903,0,3,0,0,Shia,616,0,61.7,58.293626,82.472276,0,37.7,54.5,16
18,18,Chouf,20130328,4514,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,1208,0,40.2,34.464741,26.661742,0,61.4,8.6,12
8,8,El Batroun,20130328,3634,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,91.4,25.3,15
2,2,El Hermel,20130328,2702,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,91.4,33.1,23
7,7,El Koura,20130328,6299,"4,082",0,0.90837981,0.017036429,0,0,3,0,Christian,0,0,34,45.838055,55.622361,0,91.4,53.9,9
12,12,El Meten,20130328,3386,740,0,1.10949199,0.025852128,0,0,1,0,Christian,563,4351,28.6,33.564177,19.41733,0,76.8,6.8,9
3,3,El Minieh Dennie,20130328,21632,"4,389",1,1.386036482,0.035508031,3,0,0,0,Sunni,1914,16500,57.4,29.635658,73.874987,0,91.4,23.9,25
22,22,El Nabatieh,20130328,3814,"2,075",0,1.499313463,0.029458334,0,3,0,0,Shia,121,0,52,43.513107,55.50873,0,37.7,8.4,15
23,23,Hasbaya,20130328,48,614,1,0.947383486,0.025566504,0,1,0,0,Shia,0,0,53.8,21.555707,19.41733,0,76.8,18.7,16
10,10,Jbeil,20130328,253,441,1,1.333202214,0.041396799,0,1,2,0,Christian,0,0,33.7,42.359256,38.611687,0,76.8,15.8,12
20,20,Jezzine,20130328,206,259,0,1.395362965,0.023233271,0,0,3,0,Christian,0,0,46.9,35.364942,43.77481,0,61.4,11,14
11,11,Kesrwane,20130328,796,311,0,1.280370712,0.03348588,0,0,5,0,Christian,141,0,21.2,35.554401,28.075079,0,76.8,5.8,8
24,24,Marjayoun,20130328,454,746,1,1.16529485,0.025340993,1,2,1,50,Shia,60,0,67.7,41.139924,68.81131,0,37.7,27.8,24
19,19,Rachaya,20130328,3348,85,0,1.490800374,0.053370977,0,1,0,0,Shia,0,0,51.9,7.847992,52.350942,1,76.8,24.1,14
21,21,Saida,20130328,10304,"8,988",2,1.691540193,0.026566716,2,2,1,100,Sunni-Shia,5328,59366,48.7,52.064769,50.700823,0,37.7,4.2,12
25,25,Sour,20130328,4206,"2,630",4,1.422224099,0.039492419,2,4,0,50,Shia,2971,65521,57.1,64.977793,77.925977,0,37.7,15,17
4,4,Tripoli,20130328,31652,"15,574",1,0.378143311,0.002360873,6,1,0,17,Sunni,139,0,50.9,34.866765,67.551419,0,91.4,3.6,14
17,17,West Bekaa,20130328,16826,"3,299",1,1.81004053,0.041346865,2,1,2,50,Sunni-Christian,454,0,49.1,17.822217,38.258904,1,76.8,6,16
13,13,Zahle,20130328,42588,"1,715",1,1.436099311,0.042478554,1,1,5,100,Christian,2524,0,44.1,9.580984,39.925452,1,76.8,5.6,12
5,5,Zgharta,20130328,4800,371,0,1.017068733,0.017382926,0,0,3,0,Christian,0,0,45.9,33.535049,64.511744,0,91.4,12.7,15
27,1,Akkar,20130430,53168,948,6,1.814552001,0.077486295,3,1,3,33,Sunni-Christian,1525,5857,62.1,9.793291,96.452576,3,36.9,31.9,30
42,16,Aley,20130430,7136,"1,552",0,1.257056328,0.025613854,0,2,3,0,Sunni-Christian,329,0,35.4,34.244362,16.39286,0,25,23.5,8
41,15,Baabda,20130430,11768,24,2,1.13148525,0.018996845,0,3,3,0,Shia-Christian,2392,17945,41,32.209187,16.310365,0,25,33.7,11
32,6,Baalbek,20130430,36201,567,8,3.072026614,0.226664239,2,4,0,50,Sunni-Shia,211,8806,57.7,14.839836,74.0737,1,33,28.1,18
35,9,Bcharre,20130430,747,375,1,0.973276132,0.016045961,0,0,3,0,Christian,0,0,51.5,43.997805,60.008049,0,36.9,17,20
40,14,Beirut,20130430,9565,"18,565",1,0.341848904,0.002070821,6,3,9,50,Sunni-Christian-Shia,1058,10504,35.2,48.947627,0,0,25,2.6,9
52,26,Bent Jbeil,20130430,1380,821,0,1.098496896,0.026099903,0,3,0,0,Shia,738,0,61.7,58.293626,82.472276,0,13.1,54.5,16
44,18,Chouf,20130430,11125,"7,436",2,1.739152947,0.046755258,2,2,4,100,Christian,1370,0,40.2,34.464741,26.661742,0,25,8.6,12
34,8,El Batroun,20130430,5474,"8,346",0,1.555127243,0.027290013,0,0,2,0,Christian,0,0,39.4,51.656298,46.765302,0,36.9,25.3,15
28,2,El Hermel,20130430,2908,"3,094",2,1.340072955,0.051881451,0,2,1,0,Shia,0,0,68.1,16.999875,92.293373,0,36.9,33.1,23
