date,actor,actor_group,target,target_group,dead,injury,arrest,category,classification,town,region,district,governate,latitude,longitude,url,notes,notes2
1-Apr-13,NA,NA,NA,NA,0,0,0,protest,relcon,Tripoli,Tripoli,Tripoli,North Governorate,34.4382,35.83058,http://www.naharnet.com/stories/en/77969-sit-in-in-tripoli-over-mysterious-death-of-young-man-in-dahiyeh,,1
1-Apr-13,lebcivil,NA,syrref,NA,0,0,0,clashes,relcon,Barsa,Barsa,El Koura,North Governorate,34.38773,35.83109,http://nna-leb.gov.lb/en/show-news/7219/Injured-in-clash-between-Syrian-workers-and-young-men-in-Koura,,1
1-Apr-13,NA,NA,lebcivil,sunni,0,0,0,assault,polcon,Tripoli,Tripoli,Tripoli,North Governorate,34.4382,35.83058,http://nna-leb.gov.lb/en/show-news/7218/Citizen-escapes-assassination-attempt-in-Tripoli,,1
1-Apr-13,amal,shia,lebcivil,shia,1,0,0,assault,relcon,Dahiyeh,Haret Hraik,Baabda,Mount Lebanon Governorate,33.8529,35.5088,http://www.naharnet.com/stories/en/77969-sit-in-in-tripoli-over-mysterious-death-of-young-man-in-dahiyeh,,1
1-Apr-13,lebcivil,NA,syrref,NA,0,0,0,abduction,relcon,Wadi Khaled,Akkar,Akkar,North Governorate,34.62552,36.39797,http://nna-leb.gov.lb/en/show-news/7216/Update-Kidnapping-of-Syrians-in-Wadi-Khaled,,1
1-Apr-13,lebcivil,NA,syrref,alawi,0,0,0,abduction,relcon,Wadi Khaled,Akkar,Akkar,North Governorate,34.62552,36.39797,http://www.naharnet.com/stories/en/77849-eight-syrian-alawites-abducted-from-minibus-in-wadi-khaled,,1
2-Apr-13,NA,NA,lebcivil,NA,1,0,0,shooting,NA,Tripoli,Tripoli,Tripoli,North Governorate,34.4382,35.83058,http://www.naharnet.com/stories/en/78031-1-injured-as-syrian-tanker-trucks-come-under-fire-in-tripoli,,1
2-Apr-13,lebarmy,lebgov,NA,NA,0,0,2,arrestraid,relcon,Wadi Khaled,Akkar,Akkar,North Governorate,34.62552,36.39797,http://nna-leb.gov.lb/en/show-news/7226/Oueidat-interrogates-detainees-in-Sheikh-39-attack-case,,1
3-Apr-13,syrmil,syrgov,NA,NA,0,2,0,aerbom,syrcrosscon,Jubaneh al-Shmis,Arsal,Baalbek,Bekaa Governorate,34.17924,36.41959,http://www.naharnet.com/stories/en/78060-syrian-jets-bombard-house-at-outskirts-of-arsal,,1
3-Apr-13,NA,NA,lebcivil,NA,0,0,0,abduction,NA,Dora,Dora,El Meten,Mount Lebanon Governorate,33.9,35.5667,http://www.naharnet.com/stories/en/78059-lebanese-taxi-driver-kidnapped-for-ransom,,1
4-Apr-13,lebcivil,druze,lebcivil,druze,0,0,2,clashes,polcon,Baqaata,Baqaata,Chouf,Mount Lebanon Governorate,33.67038,35.59963,http://www.naharnet.com/stories/en/78231-two-charged-in-baqaata-clash-between-psp-tawhid-party-supporters,,1
4-Apr-13,lebauth,lebgov,syrref,NA,0,0,4,arrestraid,illcon,Beiruit International Airport,Rafic Hariri International,Baabda,Mount Lebanon Governorate,33.81992,35.49051,http://www.naharnet.com/stories/en/78265-airport-security-arrests-syrian-for-attempting-to-smuggle-drugs-to-saudi-arabia,,1
5-Apr-13,lebcivil,shia,syrref,sunni,0,0,0,protest,relcon,Dahiyeh,Haret Hraik,Baabda,Mount Lebanon Governorate,33.8529,35.5088,http://www.naharnet.com/stories/en/78348-relatives-of-kidnapped-lebanese-pilgrims-close-shops-owned-by-syrians,,1
6-Apr-13,NA,NA,NA,NA,1,1,0,assault,relcon,Bab Al Tabbaneh,Tripoli,Tripoli,North Governorate,34.43956,35.84681,http://www.naharnet.com/stories/en/78517-one-man-killed-in-armed-dispute-in-tripoli,,1
6-Apr-13,lebarmy,lebgov,lebcivil,NA,0,0,2,arrestraid,polcon,Labweh,Laboue,Baalbek,Bekaa Governorate,34.19543,36.35558,http://www.naharnet.com/stories/en/78526-army-seizes-truck-carrying-weapons-explosives-in-baalbeck-s-al-labwa,,1
7-Apr-13,lebarmy,lebgov,rebunid,NA,1,2,8,arrestraid,polcon,Ain Zhalta,Ain Zhalta,Chouf,Mount Lebanon Governorate,33.74088,35.69927,http://www.naharnet.com/stories/en/78557-1-dead-8-held-as-army-foils-delivery-of-arms-to-extremists-in-ain-zhalta,,1
